DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
        HDB 3-Room Flats,30478,31275,32435,33055,33545,35219,36181,37536,38372,38610,38757,39346,38954,40963,44114,47719,50139,48506,47320,47401,48306,49982,53493,58114,61375,65724
        HDB 4-Room Flats,91858,95253,98683,99508,99886,103465,105008,107056,107387,104673,103016,101071,98684,98878,101614,104784,105237,100106,95678,94012,92390,92453,94517,98617,96891,97638
        HDB 5-Room And Executive Flats,76567,78807,81787,82612,82067,84319,83734,84210,83426,79844,76090,74304,70994,69832,71925,74469,74659,72214,69147,68103,66451,65042,64168,64953,63954,63225
    Condominiums & Other Apartments,37412,36463,36199,36045,34068,33961,33127,32353,30134,26765,24241,22606,20438,19695,20179,20898,20111,19107,20022,20115,18875,17579,16698,16654,14971,12701
    Landed Properties,15873,16422,17352,17411,17232,18896,19092,19460,19711,19014,18033,17644,16145,15313,15273,15481,15044,14810,14508,14727,14577,14491,14620,15954,16089,16814
    Other Types Of Dwelling,1091,1121,1245,1297,1190,1219,1228,1270,1373,1494,1677,1734,1751,1907,2016,2385,2629,2301,2030,1944,1922,2003,2122,2372,2484,2717
30-34 Years,319836,320486,323627,317153,301060,297798,293446,281397,279340,285544,290619,292287,296870,295396,297555,298687,297240,289817,294453,293251,293414,290489,287304,289184,286690,290290
    Total HDB Dwellings,256989,257980,260187,254382,243970,242736,239934,231391,231766,239090,245125,248551,253094,252074,253474,253751,253442,247159,249368,248802,250802,250079,248949,250498,249771,255755
        HDB 1- And 2-Room Flats,9553,9307,8960,8681,7988,7659,7383,7393,7448,7539,7450,7201,6841,6009,5345,4823,4536,4324,4302,4312,4351,4360,4410,4765,5302,6203
        HDB 3-Room Flats,36835,37798,38793,38865,38150,38703,38725,38329,39536,41834,44011,45975,47335,48882,50770,51972,52457,50437,50265,49685,50232,50534,52193,53913,55058,58334
        HDB 4-Room Flats,126495,126636,127151,123450,118639,118796,117831,113842,113732,116767,117891,117276,117201,114430,112331,109965,108261,104185,104010,103497,103960,103512,102949,104010,104074,107258
        HDB 5-Room And Executive Flats,84106,84239,85283,83386,79193,77578,75995,71827,71050,72790,75607,77864,81338,82284,84543,86374,87620,87692,90137,90683,91675,91112,88795,86981,84395,82896
    Condominiums & Other Apartments,46977,46064,46192,45528,41257,39079,38005,35412,33357,31824,30522,28575,28193,27818,28321,28731,27513,26880,29360,29243,27376,25197,23143,22583,20483,17554
    Landed Properties,14341,14889,15687,15724,14385,14538,14057,13114,12657,12846,13027,13047,13255,13058,13337,13498,13400,13171,13312,13018,13092,13149,13091,13778,14013,14380
    Other Types Of Dwelling,1529,1553,1561,1519,1448,1445,1450,1480,1560,1784,1945,2114,2328,2446,2423,2707,2885,2607,2413,2188,2144,2064,2121,2325,2423,2601
35-39 Years,320125,314575,300037,290981,289221,299515,300818,303720,300956,301998,301067,302029,305503,313970,316161,320024,317311,307243,301973,298203,299153,302908,310643,320753,322878,322621
    Total HDB Dwellings,242026,237812,228044,221175,221876,231776,233930,237856,238954,242354,243732,246019,249264,256374,258711,262331,261611,253244,247895,246224,249582,254807,262765,271175,274097,275959
        HDB 1- And 2-Room Flats,8605,8117,7549,7210,7052,7021,6912,6972,6871,6611,6605,6462,6143,6051,5949,5547,5254,5054,4832,4799,4939,5010,5236,5588,6039,6882
        HDB 3-Room Flats,36759,36773,35985,35718,36514,39078,40218,41872,42834,44590,45676,46593,47669,49855,50920,51468,51171,48990,47973,47849,49323,51323,54005,57030,59407,62269
        HDB 4-Room Flats,116723,114676,109828,106635,107687,112125,112502,112727,111688,110901,109281,108319,107336,107657,106669,107242,106321,102665,100597,100376,102257,104973,109160,113456,114367,114584
        HDB 5-Room And Executive Flats,79939,78246,74682,71612,70623,73552,74298,76285,77561,80109,81997,84436,87728,92365,94723,97585,98379,96082,93958,92624,92478,92891,93599,94074,92804,90443
    Condominiums & Other Apartments,63662,62184,57729,56296,54568,54289,53325,51866,47625,44437,41713,39609,39364,39944,39674,39458,37660,36543,37304,35766,33361,31323,30125,30000,28061,25009
    Landed Properties,12757,12910,12617,11922,11243,11918,11981,12295,12470,13106,13403,13986,14268,14962,15056,15482,15223,14807,14331,13909,14026,14577,15407,16944,17835,18592
    Other Types Of Dwelling,1680,1669,1647,1588,1534,1532,1582,1703,1907,2101,2219,2415,2607,2690,2720,2753,2817,2649,2443,2304,2184,2201,2346,2634,2885,3061
40-44 Years,311772,310259,310173,299871,292770,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614,309441,312983,317363,321049,323017,321472,321057,318282,320863,317996,312420
