age_group,ethnicity,sex,residents
83,Malays,Females,418
83,Indians,Males,204
83,Indians,Females,348
83,Others,Males,79
83,Others,Females,88
84,Chinese,Males,3366
84,Chinese,Females,4772
84,Malays,Males,320
84,Malays,Females,517
84,Indians,Males,206
84,Indians,Females,326
84,Others,Males,58
84,Others,Females,73
85,Chinese,Males,3293
85,Chinese,Females,5261
85,Malays,Males,346
85,Malays,Females,599
85,Indians,Males,209
85,Indians,Females,322
85,Others,Males,39
85,Others,Females,62
86,Chinese,Males,2591
86,Chinese,Females,4475
86,Malays,Males,279
86,Malays,Females,455
86,Indians,Males,193
86,Indians,Females,258
86,Others,Males,54
86,Others,Females,57
87,Chinese,Males,2143
87,Chinese,Females,3776
87,Malays,Males,198
87,Malays,Females,359
87,Indians,Males,188
87,Indians,Females,223
87,Others,Males,44
87,Others,Females,55
88,Chinese,Males,1831
88,Chinese,Females,3409
88,Malays,Males,158
88,Malays,Females,262
88,Indians,Males,150
88,Indians,Females,188
88,Others,Males,29
88,Others,Females,46
89,Chinese,Males,1491
89,Chinese,Females,2876
89,Malays,Males,114
89,Malays,Females,191
89,Indians,Males,139
89,Indians,Females,133
89,Others,Males,33
89,Others,Females,57
90,Chinese,Males,1191
90,Chinese,Females,2569
90,Malays,Males,108
90,Malays,Females,205
90,Indians,Males,144
90,Indians,Females,137
90,Others,Males,28
90,Others,Females,36
91,Chinese,Males,964
91,Chinese,Females,2259
91,Malays,Males,106
91,Malays,Females,146
91,Indians,Males,118
91,Indians,Females,111
91,Others,Males,24
91,Others,Females,41
92,Chinese,Males,715
92,Chinese,Females,1935
92,Malays,Males,66
92,Malays,Females,104
92,Indians,Males,86
92,Indians,Females,79
92,Others,Males,10
92,Others,Females,28
93,Chinese,Males,588
93,Chinese,Females,1534
93,Malays,Males,57
93,Malays,Females,87
93,Indians,Males,68
93,Indians,Females,53
93,Others,Males,12
93,Others,Females,23
94,Chinese,Males,385
94,Chinese,Females,1168
94,Malays,Males,31
94,Malays,Females,43
94,Indians,Males,82
94,Indians,Females,31
94,Others,Males,6
94,Others,Females,14
95,Chinese,Males,281
95,Chinese,Females,843
95,Malays,Males,27
95,Malays,Females,52
95,Indians,Males,50
95,Indians,Females,32
95,Others,Males,3
95,Others,Females,8
96,Chinese,Males,179
96,Chinese,Females,668
96,Malays,Males,19
96,Malays,Females,30
96,Indians,Males,40
96,Indians,Females,19
96,Others,Males,1
96,Others,Females,14
97,Chinese,Males,155
97,Chinese,Females,533
97,Malays,Males,16
97,Malays,Females,27
97,Indians,Males,25
97,Indians,Females,15
97,Others,Males,4
97,Others,Females,7
98,Chinese,Males,86
98,Chinese,Females,406
98,Malays,Males,14
98,Malays,Females,16
98,Indians,Males,15
98,Indians,Females,17
98,Others,Males,5
98,Others,Females,4
99,Chinese,Males,80
99,Chinese,Females,298
99,Malays,Males,6
99,Malays,Females,8
99,Indians,Males,10
99,Indians,Females,6
99,Others,Males,0
99,Others,Females,5
100 & Over,Chinese,Males,343
100 & Over,Chinese,Females,881
100 & Over,Malays,Males,34
100 & Over,Malays,Females,35
100 & Over,Indians,Males,117
100 & Over,Indians,Females,19
100 & Over,Others,Males,13
100 & Over,Others,Females,17
